Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
Positive Control,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69,195633.69
Neg,1.0,327.87,1.17,0.93,1.07,0.87,5.71,1.16,415.89,0.96,1.13,0.88,1.13,1.1,526.73,662.16,741.6
6Ckine,8233.25,6540.51,20822.6,16600.08,21537.71,9805.66,5950.75,7129.84,10829.15,3668.28,10575.79,6838.24,24272.03,5894.19,33423.6,35845.19,55870.57
Activin A,5211.5,2847.08,14941.87,4769.22,17488.72,6283.21,626.49,6104.79,4110.16,0.96,7468.3,819.38,10458.75,1095.93,42979.06,51629.06,78765.04
Activin B,4331.0,4669.5,14833.11,4933.58,14528.96,4628.24,678.29,3196.08,0.93,0.96,3230.71,463.99,26545.27,359.06,37984.97,49957.32,80244.06
Activin C,7318.5,12630.59,13884.07,12736.58,11672.55,6118.81,5224.78,6066.51,3247.86,4275.24,5380.66,7601.33,12059.67,3964.23,51897.05,65090.88,103483.69
Activin RIA / ALK-2,7734.75,11560.72,26955.94,8405.88,19072.62,7051.89,7270.77,9719.58,4575.87,5256.6,8703.0,9660.38,13795.78,5643.6,39796.36,43796.39,73852.86
Activin RIB / ALK-4,5376.0,10905.57,18091.86,7626.05,14271.1,4191.87,4638.13,7899.43,4316.85,2677.29,6653.99,7169.13,9500.79,4130.1,42012.99,42730.4,70282.24
Activin RII A/B,13104.75,26469.02,13861.85,11152.67,2677.93,13952.93,18013.77,8506.05,6601.29,13159.91,4556.77,26747.71,19926.52,11216.81,67971.96,68411.07,77568.45
Activin RIIA,21467.5,32326.07,87686.19,10600.14,94786.64,16324.99,16998.72,126475.51,12257.13,13174.83,84051.39,15408.62,65746.6,62069.34,65195.28,72483.34,119452.5
Adiponectin / Acrp30,26745.25,55999.77,95903.25,44026.21,105929.63,36717.45,42522.06,88900.31,33912.17,58172.14,133783.08,2194.8,99523.09,31640.73,77896.67,99986.98,112962.15
AgRP,3589.5,4586.89,13078.59,5289.58,10105.97,3880.55,3490.08,6559.18,6208.91,9989.53,24427.39,1038.35,16643.96,4640.67,22036.24,22568.12,31661.2
ALCAM,6386.0,4409.0,14203.93,1323.74,11527.37,1340.81,307.15,5248.5,757.66,0.96,3139.92,596.88,10895.11,1.1,45619.12,34852.36,74971.33
Angiogenin,6430.5,7079.04,32274.15,2990.88,16930.38,3243.92,7030.23,10312.0,3641.87,4664.8,8662.96,3363.39,16033.74,2006.4,37868.86,38436.6,72716.74
Angiopoietin-1,23937.25,41161.4,51232.02,20478.27,53853.2,20698.75,30501.05,45983.53,19971.32,28296.72,51211.7,30865.14,78180.81,38965.34,60108.29,66187.12,95847.07
Angiopoietin-2,25633.75,28655.88,129289.58,27522.41,153793.52,52596.23,40797.81,232097.95,29470.12,12580.87,120511.75,19969.73,349310.37,91193.09,118013.12,112338.67,139353.62
Angiopoietin-4,807.5,0.85,7991.94,1889.32,7581.21,4399.56,0.87,423.94,0.93,0.96,1.13,399.09,14942.56,1.1,25992.65,29168.44,54213.9
Angiopoietin-like 1,73454.5,188762.33,196703.12,86508.6,189580.48,101180.51,139257.84,210321.02,82035.64,93815.29,149697.8,112531.15,249864.89,104463.78,36076.43,41732.67,49848.93
Angiopoietin-like 2,852.0,0.85,6366.07,1216.03,6257.29,1441.16,0.87,215.74,0.93,0.96,1.13,92.71,22088.27,991.89,16715.86,18707.17,47347.21
Angiopoietin-like Factor,11423.25,21398.32,13592.58,8039.16,4159.27,7075.94,14319.07,6660.38,5362.49,10597.46,4604.42,17811.13,22236.45,14692.28,43136.2,49530.18,65658.5
Angiostatin,27895.0,26466.69,148578.41,31572.18,137288.54,53328.61,36766.35,146053.57,43408.64,20055.14,123457.39,19976.57,157070.06,85632.29,88164.69,88149.9,143168.36
APJ,4012.5,9130.05,17982.52,1248.67,8345.99,2337.08,477.16,1649.94,0.93,0.96,1.13,0.88,8832.43,1.1,14369.96,15361.23,27549.0
APRIL,16428.0,41701.41,108197.12,17367.79,95441.14,34932.4,18812.01,145672.55,16321.74,12622.04,80228.01,14567.39,113373.91,78708.13,104199.35,115787.61,149575.72
AR (Amphiregulin),376.0,803.25,11866.13,832.75,8465.86,0.87,0.87,306.5,0.93,0.96,1.13,0.88,16992.54,1.1,29953.32,33323.68,56922.56
Artemin,6804.25,11813.4,25988.2,7573.83,14803.33,2582.59,1929.09,6794.92,3166.58,1382.22,7471.12,1645.38,7297.56,1898.77,52221.79,54260.52,69530.71
Axl,2904.5,1711.08,19428.58,8655.1,21514.8,1530.58,0.87,2746.04,8451.77,0.96,6761.7,646.54,16123.21,1363.08,22947.35,25138.27,22762.64
B7-1 / CD80,6390.5,8265.96,26246.94,11355.5,31222.79,3705.65,2239.29,8860.4,2454.23,1257.27,7235.68,443.24,13567.44,3111.44,51433.76,54771.85,40020.44
BAFF R / TNFRSF13C,1818.5,861.35,4071.55,1398.34,4939.5,1152.8,1561.64,638.23,757.66,0.96,1.13,773.47,1.13,1.1,47652.68,12076.6,13851.31
BCMA / TNFRSF17,5163.0,6872.84,18466.97,7623.25,16584.62,7053.64,5615.74,7020.23,7370.39,5295.36,12598.01,6167.2,14425.76,2847.05,51748.43,54144.85,78507.02
BD-1,17745.0,25428.72,31990.85,17295.05,19015.35,11826.17,12883.24,10534.12,12192.43,15121.89,17093.88,23882.31,43195.44,15792.08,61244.67,58978.6,91073.1
BDNF,33385.75,61125.82,163551.56,27789.35,175176.19,119402.93,63061.37,242632.35,57158.43,33982.84,139363.09,29467.64,579177.33,143356.54,215646.96,239804.36,258610.07
beta-Catenin,1989.5,3238.35,9364.91,1393.44,8131.28,2115.61,0.87,1.16,0.93,0.96,1.13,0.88,3682.51,1.1,26923.12,30957.08,75078.74
Bax,3458.5,9996.26,10517.14,6286.46,5135.56,3131.33,9497.0,2521.31,2044.1,4109.6,3675.08,11330.92,14124.04,3949.05,74181.78,69593.55,91433.65
beta-NGF,3207.25,7549.96,21319.63,11886.57,22246.82,7179.35,2977.44,6534.82,8308.83,2462.29,10350.78,4297.11,15504.8,2042.28,42131.42,46578.68,69870.61
BIK,2042.75,481.7,19031.54,5020.08,14943.71,5509.29,8644.77,13609.27,3057.28,0.96,1.13,535.73,1.13,1.1,37228.68,46433.58,61151.95
BLC / BCA-1 / CXCL13,6768.0,17681.01,11122.34,9889.55,5122.51,6772.05,9934.1,2510.29,5295.0,7536.87,2094.41,7767.77,2495.65,994.65,50021.8,59227.93,51463.17
BMP-2,4371.25,6160.44,13437.33,7369.37,20101.38,6493.75,3726.48,7228.43,3388.93,4697.06,10409.43,4317.86,39725.46,3336.09,32139.76,37692.28,32660.99
BMP-3,15611.0,33867.08,56229.21,20366.83,57054.56,23072.56,24451.04,51079.21,17720.99,20677.76,34541.05,34703.11,61673.74,32284.32,101273.26,96675.38,227811.94
BMP-3b / GDF-10,1.0,0.85,2851.19,1054.7,7091.6,0.87,0.87,762.05,0.93,0.96,1.13,0.88,8570.78,1.1,24975.49,26590.93,40162.41
BMP-4,510.25,0.85,14976.37,2061.37,16783.61,0.87,0.87,3072.55,0.93,0.96,1.13,0.88,17210.15,335.6,27172.76,30066.85,44227.66
BMP-5,5016.75,34241.45,11383.14,11289.05,5583.08,6597.16,19841.21,6598.32,4346.98,20152.89,9297.09,19410.16,12359.98,9037.09,46160.99,42954.39,51718.93
BMP-6,9625.0,6388.61,24933.62,14229.81,32287.78,10370.15,14307.75,12781.98,14910.11,2694.39,16763.98,8739.46,36307.99,9110.51,15831.84,12881.0,22039.65
BMP-7,2580.5,4682.81,13172.74,3401.89,8106.51,3901.76,4568.69,2946.7,2406.58,1389.45,888.18,1328.4,2837.17,607.99,73844.27,51087.07,130939.55
